species,CN,CL,CD
Calcidiscus leptoporus,15,7.43,13.49
Calcidiscus leptoporus,15,6.84,14.54
Calcidiscus leptoporus,18,6.83,13.26
Calcidiscus leptoporus,19,7.12,15.14
Calcidiscus leptoporus,11,7.66,11.09
Calcidiscus leptoporus,16,7.20,13.20
Calcidiscus leptoporus,14,6.50,12.38
Calcidiscus leptoporus,19,6.27,14.42
Calcidiscus leptoporus,15,6.87,13.96
Calcidiscus leptoporus,25,7.23,17.49
Calcidiscus leptoporus,17,5.89,13.35
Calcidiscus leptoporus,13,6.59,11.94
Calcidiscus leptoporus,14,6.17,11.51
Calcidiscus leptoporus,18,7.07,13.39
Calcidiscus leptoporus,19,6.35,14.72
Calcidiscus leptoporus,21,6.47,15.11
Calcidiscus leptoporus,21,5.37,14.70
Calcidiscus leptoporus,15,6.44,12.22
Calcidiscus leptoporus,16,6.63,13.23
Calcidiscus leptoporus,25,6.16,16.22
Calcidiscus leptoporus,16,6.18,13.25
Calcidiscus leptoporus,21,6.42,15.38
Calcidiscus leptoporus,19,6.66,13.67
Calcidiscus leptoporus,15,5.98,12.92
Calcidiscus leptoporus,14,6.32,12.39
Calcidiscus leptoporus,17,6.00,14.26
Calcidiscus leptoporus,15,6.83,12.33
Calcidiscus leptoporus,21,6.50,14.24
Calcidiscus leptoporus,13,8.76,12.14
Calcidiscus leptoporus,15,7.24,13.24
Calcidiscus leptoporus,14,6.90,12.20
Calcidiscus leptoporus,21,5.72,13.08
Calcidiscus leptoporus,15,7.58,12.29
Calcidiscus leptoporus,15,6.09,12.54
Calcidiscus leptoporus,17,6.99,13.74
Calcidiscus leptoporus,15,7.21,12.70
Calcidiscus leptoporus,14,7.48,12.87
Calcidiscus leptoporus,14,7.13,12.84
Calcidiscus leptoporus,22,6.67,15.33
Calcidiscus leptoporus,24,6.81,13.70
Calcidiscus leptoporus,13,6.94,12.63
Calcidiscus leptoporus,20,6.17,14.67
Calcidiscus leptoporus,18,8.17,14.98
Calcidiscus leptoporus,19,6.55,14.21
Calcidiscus leptoporus,15,5.88,12.80
Calcidiscus leptoporus,19,5.98,12.79
Calcidiscus leptoporus,17,7.64,13.17
Calcidiscus leptoporus,21,6.68,14.49
Calcidiscus leptoporus,16,7.49,13.46
Calcidiscus leptoporus,11,7.22,11.68
Calcidiscus leptoporus,21,7.14,14.50
Calcidiscus leptoporus,18,7.02,14.27
Calcidiscus leptoporus,17,6.50,13.77
Calcidiscus leptoporus,23,7.99,15.09
Calcidiscus leptoporus,20,7.81,13.63
Calcidiscus leptoporus,15,6.78,13.86
Calcidiscus leptoporus,18,7.09,13.83
Calcidiscus leptoporus,13,7.27,12.41
Calcidiscus leptoporus,13,6.15,11.99
Calcidiscus leptoporus,20,6.41,14.18
Calcidiscus leptoporus,23,7.24,16.67
Calcidiscus leptoporus,17,7.13,13.75
Calcidiscus leptoporus,23,8.50,15.33
Calcidiscus leptoporus,13,6.90,12.08
Calcidiscus leptoporus,20,6.76,14.04
Calcidiscus leptoporus,14,6.73,11.83
Calcidiscus leptoporus,16,6.74,11.90
Calcidiscus leptoporus,15,6.86,11.50
Calcidiscus leptoporus,22,7.13,15.59
Calcidiscus leptoporus,15,6.46,13.23
Calcidiscus leptoporus,17,7.59,14.57
Calcidiscus leptoporus,22,8.08,15.78
Calcidiscus leptoporus,16,6.31,13.89
Calcidiscus leptoporus,19,6.99,14.69
Calcidiscus leptoporus,18,7.32,14.71
Calcidiscus leptoporus,17,7.66,12.80
Calcidiscus leptoporus,19,7.57,15.19
