species,CN,CL
Calcidiscus quadriperforatus,17,7.68
Calcidiscus quadriperforatus,23,8.53
Calcidiscus quadriperforatus,24,11.57
Calcidiscus quadriperforatus,19,9.19
Calcidiscus quadriperforatus,18,10.30
Calcidiscus quadriperforatus,21,9.12
Calcidiscus quadriperforatus,20,9.46
Calcidiscus quadriperforatus,17,8.13
Calcidiscus quadriperforatus,21,8.97
Calcidiscus quadriperforatus,16,8.36
Calcidiscus quadriperforatus,20,9.51
Calcidiscus quadriperforatus,23,9.68
Calcidiscus quadriperforatus,16,9.12
Calcidiscus quadriperforatus,17,6.26
Calcidiscus quadriperforatus,17,10.38
Calcidiscus quadriperforatus,20,9.53
Calcidiscus quadriperforatus,22,8.66
Calcidiscus quadriperforatus,15,8.20
Calcidiscus quadriperforatus,18,9.89
Calcidiscus quadriperforatus,24,10.98
Calcidiscus quadriperforatus,21,8.34
Calcidiscus quadriperforatus,16,9.02
Calcidiscus quadriperforatus,21,9.55
Calcidiscus quadriperforatus,16,9.71
Calcidiscus quadriperforatus,20,9.83
Calcidiscus quadriperforatus,22,9.18
Calcidiscus quadriperforatus,22,8.80
Calcidiscus quadriperforatus,24,9.73
Calcidiscus quadriperforatus,21,9.29
Calcidiscus quadriperforatus,23,8.97
Calcidiscus quadriperforatus,14,8.01
Calcidiscus quadriperforatus,18,8.68
Calcidiscus quadriperforatus,17,8.89
Calcidiscus quadriperforatus,14,8.27
Calcidiscus quadriperforatus,19,10.87
Calcidiscus quadriperforatus,18,8.24
Calcidiscus quadriperforatus,19,7.79
Calcidiscus quadriperforatus,20,8.38
Calcidiscus quadriperforatus,17,10.55
Calcidiscus quadriperforatus,23,9.75
Calcidiscus quadriperforatus,16,9.96
Calcidiscus quadriperforatus,20,8.78
Calcidiscus quadriperforatus,19,8.87
Calcidiscus quadriperforatus,23,9.81
Calcidiscus quadriperforatus,24,10.33
Calcidiscus quadriperforatus,22,8.62
Calcidiscus quadriperforatus,13,10.85
Calcidiscus quadriperforatus,20,7.40
Calcidiscus quadriperforatus,21,9.25
Calcidiscus quadriperforatus,20,8.53
Calcidiscus quadriperforatus,14,8.96
Calcidiscus quadriperforatus,17,8.83
Calcidiscus quadriperforatus,15,8.33
Calcidiscus quadriperforatus,17,7.86
Calcidiscus quadriperforatus,16,9.75
Calcidiscus quadriperforatus,15,10.17
Calcidiscus quadriperforatus,22,10.55
Calcidiscus quadriperforatus,21,10.05
Calcidiscus quadriperforatus,15,8.36
Calcidiscus quadriperforatus,17,10.01
Calcidiscus quadriperforatus,20,8.65
Calcidiscus quadriperforatus,17,9.15
Calcidiscus quadriperforatus,22,10.06
Calcidiscus quadriperforatus,19,9.05
Calcidiscus quadriperforatus,14,9.06
Calcidiscus quadriperforatus,18,9.25
Calcidiscus quadriperforatus,16,7.96
Calcidiscus quadriperforatus,26,10.10
Calcidiscus quadriperforatus,17,8.83
Calcidiscus quadriperforatus,18,9.74
Calcidiscus quadriperforatus,19,9.02
Calcidiscus quadriperforatus,15,8.58
Calcidiscus quadriperforatus,17,8.12
Calcidiscus quadriperforatus,16,8.76
Calcidiscus quadriperforatus,15,8.93
Calcidiscus quadriperforatus,12,8.54
Calcidiscus quadriperforatus,16,9.77
Calcidiscus quadriperforatus,20,10.14
Calcidiscus quadriperforatus,15,10.41
Calcidiscus quadriperforatus,17,8.85
Calcidiscus quadriperforatus,20,10.13
Calcidiscus quadriperforatus,15,9.08
Calcidiscus quadriperforatus,21,9.28
Calcidiscus quadriperforatus,20,9.14
Calcidiscus quadriperforatus,15,7.75
