species,CN,CL
Helicosphaera carteri,18,8.46
Helicosphaera carteri,23,8.01
Helicosphaera carteri,13,8.96
Helicosphaera carteri,10,8.93
Helicosphaera carteri,21,7.54
Helicosphaera carteri,13,9.00
Helicosphaera carteri,15,9.52
Helicosphaera carteri,10,8.78
Helicosphaera carteri,10,8.46
Helicosphaera carteri,14,8.17
Helicosphaera carteri,18,9.11
Helicosphaera carteri,13,7.88
Helicosphaera carteri,11,8.66
Helicosphaera carteri,14,7.83
Helicosphaera carteri,14,7.90
Helicosphaera carteri,17,8.62
Helicosphaera carteri,21,8.33
Helicosphaera carteri,17,9.45
Helicosphaera carteri,9,9.50
Helicosphaera carteri,15,9.04
Helicosphaera carteri,10,9.39
Helicosphaera carteri,20,8.80
Helicosphaera carteri,14,8.73
Helicosphaera carteri,15,7.81
Helicosphaera carteri,15,8.12
Helicosphaera carteri,14,7.97
Helicosphaera carteri,19,8.73
Helicosphaera carteri,14,9.42
Helicosphaera carteri,15,8.19
Helicosphaera carteri,17,7.77
Helicosphaera carteri,14,8.84
Helicosphaera carteri,13,9.80
Helicosphaera carteri,11,8.84
Helicosphaera carteri,14,9.13
Helicosphaera carteri,18,8.32
Helicosphaera carteri,9,9.05
Helicosphaera carteri,13,9.20
Helicosphaera carteri,15,9.27
Helicosphaera carteri,13,9.22
Helicosphaera carteri,17,8.44
Helicosphaera carteri,21,9.36
Helicosphaera carteri,13,9.50
Helicosphaera carteri,15,9.27
Helicosphaera carteri,14,8.72
Helicosphaera carteri,16,8.70
Helicosphaera carteri,17,8.26
Helicosphaera carteri,16,8.70
Helicosphaera carteri,16,8.09
Helicosphaera carteri,15,8.94
Helicosphaera carteri,20,8.52
Helicosphaera carteri,19,8.56
Helicosphaera carteri,21,8.92
Helicosphaera carteri,23,8.59
Helicosphaera carteri,14,9.48
Helicosphaera carteri,19,8.41
Helicosphaera carteri,17,8.77
Helicosphaera carteri,12,9.42
Helicosphaera carteri,23,8.16
Helicosphaera carteri,13,9.81
Helicosphaera carteri,21,8.44
Helicosphaera carteri,15,8.13
Helicosphaera carteri,18,8.80
Helicosphaera carteri,18,8.44
Helicosphaera carteri,19,8.93
Helicosphaera carteri,23,9.80
Helicosphaera carteri,18,8.09
Helicosphaera carteri,18,9.29
Helicosphaera carteri,14,8.32
Helicosphaera carteri,18,7.58
Helicosphaera carteri,14,8.87
Helicosphaera carteri,14,7.93
Helicosphaera carteri,22,8.90
Helicosphaera carteri,17,8.81
Helicosphaera carteri,22,9.56
Helicosphaera carteri,22,8.83
Helicosphaera carteri,23,8.66
Helicosphaera carteri,18,8.60
