species,volume,pg pic,phase
Emiliania huxleyi,257.18,3.83,HET
Emiliania huxleyi,460.5,14.29,HET
Emiliania huxleyi,124.85,6.38,HET
Emiliania huxleyi,479.5,15.83,HET
Emiliania huxleyi,67.07,1.32,HET
Emiliania huxleyi,530.0,19.35,HET
Emiliania huxleyi,500.76,10.2,HET
Emiliania huxleyi,81.4,2.84,HET
Emiliania huxleyi,118.45,5.84,HET
Emiliania huxleyi,86.4,2.91,HET
Emiliania huxleyi,117.17,3.88,HET
Emiliania huxleyi,101.51,5.95,HET
Emiliania huxleyi,288.5,19.45,HET
Emiliania huxleyi,268.35,10.62,HET
Emiliania huxleyi,134.59,6.95,HET
Emiliania huxleyi,261.01,5.63,HET
Emiliania huxleyi,109.13,4.4,HET
Emiliania huxleyi,32.2,0.81,HET
Emiliania huxleyi,130.69,6.65,HET
Emiliania huxleyi,277.77,8.49,HET
Emiliania huxleyi,266.11,12.58,HET
Emiliania huxleyi,356.82,12.86,HET
Emiliania huxleyi,156.87,4.56,HET
Emiliania huxleyi,157.76,5.02,HET
Emiliania huxleyi,236.53,5.74,HET
Emiliania huxleyi,162.13,13.68,HET
Emiliania huxleyi,96.26,3.44,HET
Emiliania huxleyi,220.1,10.07,HET
Emiliania huxleyi,88.65,4.88,HET
Emiliania huxleyi,183.71,4.62,HET
Emiliania huxleyi,60.06,3.2,HET
Emiliania huxleyi,294.42,11.46,HET
Emiliania huxleyi,143.93,5.23,HET
Emiliania huxleyi,293.18,7.22,HET
Emiliania huxleyi,185.88,5.66,HET
Emiliania huxleyi,163.39,17.86,HET
Emiliania huxleyi,129.79,3.6,HET
Emiliania huxleyi,276.2,10.72,HET
Emiliania huxleyi,151.14,3.73,HET
Emiliania huxleyi,133.14,4.54,HET
Emiliania huxleyi,218.86,8.12,HET
Emiliania huxleyi,185.08,7.95,HET
Emiliania huxleyi,151.62,8.68,HET
Emiliania huxleyi,249.26,7.6,HET
Emiliania huxleyi,132.87,3.65,HET
