species,diameter (um) [median],diameter (um) [95 CI lower],diameter (um) [95 CI upper],POC (pg poc) [median],POC (pg poc) [95 CI lower],POC (pg poc) [95 CI upper],PIC (pg pic) [median],PIC (pg pic) [95 CI lower],PIC (pg pic) [95 CI upper],PIC:POC (pg pic: pg poc) [median],PIC:POC (pg pic: pg poc) [95 CI lower],PIC:POC (pg pic: pg poc) [95 CI upper]
Syracosphaera magnaghii HOL,5.47,5.44,5.49,13.9,13.7,14.0,2.92,2.87,2.98,0.211,0.206,0.215
Syracosphaera marginiporata HET,5.87,5.85,5.89,15.5,15.3,15.7,5.55,5.49,5.6,0.358,0.353,0.364
Syracosphaera mediterranea HET,10.8,10.8,10.9,130.0,128.0,131.0,35.8,35.3,36.3,0.276,0.27,0.28
Syracosphaera mediterranea HOL gracillima type,10.8,10.8,10.9,114.0,112.0,115.0,28.3,27.9,28.7,0.249,0.244,0.253
Syracosphaera mediterranea HOL hellenica type,13.3,13.3,13.4,229.0,225.0,232.0,58.0,57.1,58.8,0.254,0.248,0.257
Syracosphaera mediterranea HOL marisrubri type,10.8,10.8,10.9,89.3,88.2,90.4,30.3,29.9,30.7,0.339,0.333,0.345
Syracosphaera mediterranea HOL wettsteinii type,9.82,9.76,9.88,99.1,97.5,101.0,5.48,5.39,5.55,0.0552,0.054,0.0565
Syracosphaera molischii HET,6.22,6.18,6.26,29.1,28.5,29.6,2.51,2.47,2.54,0.0863,0.0848,0.0884
Syracosphaera molischii HOL,4.89,4.86,4.91,10.1,9.92,10.2,,,,,,
Syracosphaera nana HET,6.13,6.1,6.16,21.5,21.2,21.8,6.31,6.22,6.4,0.293,0.287,0.3
Syracosphaera nana HOL,7.03,7.0,7.06,34.3,33.8,34.8,7.29,7.16,7.39,0.212,0.207,0.217
Syracosphaera nodosa HET,6.54,6.49,6.59,20.6,20.1,21.1,4.16,4.05,4.27,0.202,0.195,0.209
Syracosphaera noroitica HET,9.17,9.09,9.24,78.7,76.8,80.7,0.997,0.98,1.01,0.0126,0.0123,0.013
Syracosphaera orbiculus HET,6.41,6.36,6.45,25.8,25.2,26.3,0.513,0.507,0.52,0.0199,0.0194,0.0204
Syracosphaera ossa HET,5.3,5.27,5.33,12.9,12.7,13.1,3.54,3.5,3.58,0.274,0.268,0.279
Syracosphaera periperforata HOL,5.34,5.32,5.37,11.1,11.0,11.3,0.59,0.542,0.643,0.0532,0.0492,0.0572
Syracosphaera prolongata HET,10.6,10.5,10.8,124.0,119.0,129.0,4.72,4.58,4.87,0.0379,0.0365,0.0398
Syracosphaera protrudens HET,9.45,9.41,9.5,75.1,73.9,76.1,22.9,22.5,23.2,0.304,0.299,0.311
Syracosphaera pulchra HET,10.3,10.2,10.3,40.9,40.8,41.0,60.7,59.6,61.9,1.48,1.46,1.51
Syracosphaera pulchra HOL galea type,10.3,10.3,10.3,123.0,122.0,125.0,24.6,24.3,24.9,0.199,0.196,0.202
